Latitude,Longitude
32.212872,-110.987605
32.213976,-110.987734
32.214198,-110.986532
32.213087,-110.986401
32.2134,-110.987158
32.213554,-110.987179
32.213611,-110.986617
32.213445,-110.986591
32.213254,-110.987581
32.213481,-110.987576
32.213498,-110.987672
32.213273,-110.987659
